year,fear,ideology,insurgent,qaeda,reign,terror,terrorism,terrorization,violence
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
1970.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
1970.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1970.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1970.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
